Nom_complet;Sexe;Nuance;Elu;Région;Tendency
DESPRAS Dominique;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
CHAUMONT Yannick;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
GREGOIRE Olivia;FEMININ;ENS;True;Île-de-France;Centre-Droite
NAGNONHOU Ilias;MASCULIN;ENS;False;Pays de la Loire;Centre-Droite
CIOTTI Eric;MASCULIN;UXD;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
GRISETI Monique;FEMININ;RN;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
TERRENES Loïc;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
HADDAD Benjamin;MASCULIN;ENS;True;Île-de-France;Centre-Droite
RIOULT Olivier;MASCULIN;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
MOUTON Laurent;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
BALAGE EL MARIKY Léa;FEMININ;UG;True;Île-de-France;Gauche
LIQUORI Franck;MASCULIN;RN;False;Provence-Alpes-Côte d'Azur;Extrême-Droite
JURAMY Véronique;FEMININ;ENS;False;Nouvelle-Aquitaine;Centre-Droite
LOOS Etienne;MASCULIN;ENS;False;Grand Est;Centre-Droite
TAVERNIER Boris;MASCULIN;UG;True;Auvergne-Rhône-Alpes;Gauche
HERVIEU Céline;FEMININ;UG;True;Île-de-France;Gauche
LELOUIS Gisèle;FEMININ;RN;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
REGOL Sandra;FEMININ;UG;True;Grand Est;Gauche
BRUGNERA Anne;FEMININ;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
MALAISÉ Celine;FEMININ;UG;False;Île-de-France;Gauche
DAVI Hendrik;MASCULIN;DVG;True;Provence-Alpes-Côte d'Azur;Gauche
PIQUET Louis;MASCULIN;UXD;False;Île-de-France;Extrême-Droite
JUSTE Christine;FEMININ;UG;False;Provence-Alpes-Côte d'Azur;Gauche
MAILLARD Sylvain;MASCULIN;ENS;True;Île-de-France;Centre-Droite
AMIEL David;MASCULIN;ENS;True;Île-de-France;Centre-Droite
LAUSSUCQ Jean;MASCULIN;ENS;True;Île-de-France;Centre-Droite
GATEL Maud;FEMININ;ENS;False;Île-de-France;Centre-Droite
SIMONNET Danielle;FEMININ;DVG;True;Île-de-France;Gauche
NIAKATÉ Aminata;FEMININ;UG;False;Île-de-France;Gauche
BOULARD Geoffroy;MASCULIN;DVD;False;Île-de-France;Droite
VERZELETTI Céline;FEMININ;UG;False;Île-de-France;Gauche
ROSSET Marine;FEMININ;UG;False;Île-de-France;Gauche
