Nom_complet;Sexe;Nuance;Elu;Région;Tendency
DUBY-MULLER Virginie;FEMININ;LR;True;Auvergne-Rhône-Alpes;Droite
PRATS Charles;MASCULIN;UXD;False;Auvergne-Rhône-Alpes;Extrême-Droite
PANOSYAN-BOUVET Astrid;FEMININ;ENS;True;Île-de-France;Centre-Droite
BATUT Xavier;MASCULIN;HOR;False;Normandie;Centre-Droite
POUSSIER-WINSBACK Marie-Agnès;FEMININ;HOR;True;Normandie;Centre-Droite
MARTIN Patrice;MASCULIN;RN;True;Normandie;Extrême-Droite
LANCELOT Vanessa;FEMININ;RN;False;Normandie;Extrême-Droite
MONTIER Jean-Cyril;MASCULIN;RN;False;Normandie;Extrême-Droite
DUFOUR Alma;FEMININ;UG;True;Normandie;Gauche
THOMAS Anaïs;FEMININ;RN;False;Normandie;Extrême-Droite
HOUDAN Grégoire;MASCULIN;RN;False;Normandie;Extrême-Droite
LECOQ Jean-Paul;MASCULIN;UG;True;Normandie;Gauche
BÉNARD Edouard;MASCULIN;UG;True;Normandie;Gauche
VALLETOUX Frédéric;MASCULIN;ENS;True;Île-de-France;Centre-Droite
LIMONGI Julien;MASCULIN;RN;True;Île-de-France;Extrême-Droite
THIERIOT Jean-Louis;MASCULIN;LR;True;Île-de-France;Droite
LAFFITE Agnès;FEMININ;RN;False;Île-de-France;Extrême-Droite
LUQUET Aude;FEMININ;ENS;False;Île-de-France;Centre-Droite
ROULLAUD Béatrice;FEMININ;RN;True;Île-de-France;Extrême-Droite
RIESTER Franck;MASCULIN;ENS;True;Île-de-France;Centre-Droite
VANACKER Morgann;MASCULIN;RN;False;Île-de-France;Extrême-Droite
BRACH Pryscillia;FEMININ;RN;False;Île-de-France;Extrême-Droite
GHOMI Hadrien;MASCULIN;ENS;False;Île-de-France;Centre-Droite
BRIOLAIS Cédric;MASCULIN;UG;False;Île-de-France;Gauche
LELANDAIS Sophie;FEMININ;RN;False;Île-de-France;Extrême-Droite
DIOP Dieynaba;FEMININ;UG;True;Île-de-France;Gauche
METTELET Jean-Louis;MASCULIN;RN;False;Île-de-France;Extrême-Droite
HAI Nadia;FEMININ;ENS;False;Île-de-France;Centre-Droite
SALVINO Valentin;MASCULIN;UXD;False;Île-de-France;Extrême-Droite
MAZAURY Laurent;MASCULIN;UDI;True;Île-de-France;Droite
LUCAS Benjamin;MASCULIN;UG;True;Île-de-France;Gauche
BRAULT Gaetan;MASCULIN;RN;False;Île-de-France;Extrême-Droite
MOURTOUX Jean-François;MASCULIN;UXD;False;Île-de-France;Extrême-Droite
RAMAGE Sébastien;MASCULIN;UG;False;Île-de-France;Gauche
MYARD Jacques;MASCULIN;DVD;False;Île-de-France;Droite
ROBIN Philippe;MASCULIN;UXD;False;Nouvelle-Aquitaine;Extrême-Droite
GARAULT Mélody;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
CHAMPEAU Dorothée;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
RUFFIN François;MASCULIN;UG;True;Hauts-de-France;Gauche
RENAULT Matthias;MASCULIN;RN;True;Hauts-de-France;Extrême-Droite
TANGUY Jean-Philippe;MASCULIN;RN;True;Hauts-de-France;Extrême-Droite
DE JENLIS Hubert;MASCULIN;ENS;False;Hauts-de-France;Centre-Droite
CARAYON Guilhem;MASCULIN;UXD;False;Occitanie;Extrême-Droite
BONNECARRERE Philippe;MASCULIN;DVC;True;Occitanie;Centre
BACOU Julien;MASCULIN;RN;False;Occitanie;Extrême-Droite
HAMELET Marine;FEMININ;RN;True;Occitanie;Extrême-Droite
RABAULT Valérie;FEMININ;UG;False;Occitanie;Gauche
MUSCHOTTI Cécile;FEMININ;ENS;False;Provence-Alpes-Côte d'Azur;Centre-Droite
MONFORT Isabelle;FEMININ;ENS;False;Provence-Alpes-Côte d'Azur;Centre-Droite
CHENEVARD Yannick;MASCULIN;ENS;True;Provence-Alpes-Côte d'Azur;Centre-Droite
CELCE Céline;FEMININ;UG;False;Provence-Alpes-Côte d'Azur;Gauche
ARNAULT Raphaël;MASCULIN;UG;True;Provence-Alpes-Côte d'Azur;Gauche
GALVEZ Monia;FEMININ;UG;False;Provence-Alpes-Côte d'Azur;Gauche
BLANES Patrick;MASCULIN;UG;False;Provence-Alpes-Côte d'Azur;Gauche
BUCHOU Stéphane;MASCULIN;ENS;True;Pays de la Loire;Centre-Droite
PAULIN Simon-Pierre;MASCULIN;UXD;False;Pays de la Loire;Extrême-Droite
BELLAMY Béatrice;FEMININ;ENS;True;Pays de la Loire;Centre-Droite
HENRIET Pierre;MASCULIN;ENS;True;Pays de la Loire;Centre-Droite
PROUX Jacques;MASCULIN;RN;False;Pays de la Loire;Extrême-Droite
SOULAT Eric;MASCULIN;RN;False;Nouvelle-Aquitaine;Extrême-Droite
SAINT-PÉ Séverine;FEMININ;HOR;False;Nouvelle-Aquitaine;Centre-Droite
JACQUEMIN Hager;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
SOUMAILLE Valérie;FEMININ;UG;False;Nouvelle-Aquitaine;Gauche
